occupation,women,men,employed
Lodging managers,48.8,51.2,156
Statisticians,48.8,51.2,87
Private detectives and investigators,48.8,51.2,94
Counter and rental clerks,48.9,51.1,109
"Lifeguards and other recreational, and all other protective service workers",49.6,50.4,136
Optometrists,50.2,49.8,51
"Sales and related workers, all other",50.3,49.7,276
Advertising sales agents,50.4,49.6,241
Operations research analysts,51.5,48.5,147
Insurance sales agents,51.8,48.2,624
Artists and related workers,51.9,48.1,236
Medical scientists,52.1,47.9,161
Crossing guards,52.2,47.8,63
Purchasing managers,52.3,47.7,205
"Business operations specialists, all other",52.5,47.5,273
Advertising and promotions managers,52.7,47.3,61
"Packers and packagers, hand",52.7,47.3,539
Designers,52.8,47.2,908
Packaging and filling machine operators and tenders,52.8,47.2,292
"Production, planning, and expediting clerks",53.9,46.1,270
"Directors, religious activities and education",54.1,45.9,81
Editors,54.1,45.9,174
Biological scientists,54.4,45.6,98
First-line supervisors of food preparation and serving workers,54.8,45.2,519
Order clerks,54.9,45.1,107
"News analysts, reporters and correspondents",55.3,44.7,84
Postal service clerks,55.3,44.7,111
Financial managers,55.7,44.3,"1,167"
"Wholesale and retail buyers, except farm products",55.8,44.2,194
Credit counselors and loan officers,56.5,43.5,353
"Postal service mail sorters, processors, and processing machine operators",56.7,43.3,50
Real estate brokers and sales agents,57.1,42.9,997
Bartenders,57.3,42.7,417
Dispatchers,57.4,42.6,292
Pharmacists,57.5,42.5,342
Compliance officers,57.6,42.4,260
Reservation and transportation ticket agents and travel clerks,58,42,127
Food batchmakers,58.1,41.9,89
"Tax examiners and collectors, and revenue agents",58.4,41.6,65
"Door-to-door sales workers, news and street vendors, and related workers",58.4,41.6,166
Secondary school teachers,58.5,41.5,"1,039"
Food preparation workers,58.9,41.1,"1,068"
Training and development managers,59.8,40.2,63
"Combined food preparation and serving workers, including fast food",60,40,372
"Personal care and service workers, all other",60.1,39.9,167
Bakers,60.1,39.9,215
Technical writers,60.2,39.8,76
Computer operators,60.2,39.8,73
Accountants and auditors,60.3,39.7,"1,804"
Market research analysts and marketing specialists,60.8,39.2,344
