id,Geography,population,medianHouseholdIncome
12083,"Marion County, Florida",340341,40295
12085,"Martin County, Florida",153592,52622
12086,"Miami-Dade County, Florida",2664418,44224
12087,"Monroe County, Florida",77150,60303
12089,"Nassau County, Florida",77187,59196
12091,"Okaloosa County, Florida",195798,57655
12093,"Okeechobee County, Florida",39420,36415
12095,"Orange County, Florida",1256055,49391
12097,"Osceola County, Florida",311962,45536
12099,"Palm Beach County, Florida",1398757,55277
12101,"Pasco County, Florida",488310,46010
12103,"Pinellas County, Florida",939548,47090
12105,"Polk County, Florida",637691,44146
12107,"Putnam County, Florida",72304,33003
12109,"St. Johns County, Florida",218362,69523
12111,"St. Lucie County, Florida",293136,44140
12113,"Santa Rosa County, Florida",163903,60652
12115,"Sarasota County, Florida",398011,52796
12117,"Seminole County, Florida",442905,58538
12119,"Sumter County, Florida",113589,52594
12121,"Suwannee County, Florida",43653,37796
12123,"Taylor County, Florida",22582,36195
12125,"Union County, Florida",15159,37778
12127,"Volusia County, Florida",510806,42240
12129,"Wakulla County, Florida",31314,54078
12131,"Walton County, Florida",61528,46910
12133,"Washington County, Florida",24627,38330
13001,"Appling County, Georgia",18410,37388
13003,"Atkinson County, Georgia",8268,31296
13005,"Bacon County, Georgia",11251,37303
13007,"Baker County, Georgia",3250,45903
13009,"Baldwin County, Georgia",45808,34595
13011,"Banks County, Georgia",18336,40721
13013,"Barrow County, Georgia",73340,53133
13015,"Bartow County, Georgia",101942,50565
13017,"Ben Hill County, Georgia",17405,29510
13019,"Berrien County, Georgia",18986,35740
13021,"Bibb County, Georgia",154194,37108
13023,"Bleckley County, Georgia",12835,37060
13025,"Brantley County, Georgia",18403,36837
13027,"Brooks County, Georgia",15645,34547
13029,"Bryan County, Georgia",34104,65862
13031,"Bulloch County, Georgia",73141,37125
13033,"Burke County, Georgia",22838,34589
13035,"Butts County, Georgia",23479,40753
13037,"Calhoun County, Georgia",6443,28200
13039,"Camden County, Georgia",52092,53327
13043,"Candler County, Georgia",10962,33379
13045,"Carroll County, Georgia",113756,45486
13047,"Catoosa County, Georgia",65645,52265
13049,"Charlton County, Georgia",12968,43871
13051,"Chatham County, Georgia",282613,49596
13053,"Chattahoochee County, Georgia",11882,43929
13055,"Chattooga County, Georgia",25046,35245
13057,"Cherokee County, Georgia",230629,72586
13059,"Clarke County, Georgia",122037,33116
13061,"Clay County, Georgia",3068,22120
13063,"Clayton County, Georgia",270269,42470
13065,"Clinch County, Georgia",6814,24848
13067,"Cobb County, Georgia",728388,68818
13069,"Coffee County, Georgia",43042,34536
13071,"Colquitt County, Georgia",46002,33968
13073,"Columbia County, Georgia",139904,71962
13075,"Cook County, Georgia",17103,35199
13077,"Coweta County, Georgia",135625,65244
13079,"Crawford County, Georgia",12483,40459
13081,"Crisp County, Georgia",23061,31672
13083,"Dade County, Georgia",16356,43463
13085,"Dawson County, Georgia",22939,59265
13087,"Decatur County, Georgia",27237,33514
13089,"DeKalb County, Georgia",723902,52623
13091,"Dodge County, Georgia",20995,35544
13093,"Dooly County, Georgia",14089,33319
13095,"Dougherty County, Georgia",92326,33605
13097,"Douglas County, Georgia",138283,57384
13099,"Early County, Georgia",10480,28599
13101,"Echols County, Georgia",4025,35354
13103,"Effingham County, Georgia",55852,62820
13105,"Elbert County, Georgia",19394,35739
13107,"Emanuel County, Georgia",22723,31522
13109,"Evans County, Georgia",10733,40594
13111,"Fannin County, Georgia",24017,39011
13113,"Fayette County, Georgia",109495,81689
13115,"Floyd County, Georgia",96199,42955
13117,"Forsyth County, Georgia",203841,91842
13119,"Franklin County, Georgia",22188,37298
13121,"Fulton County, Georgia",996757,58851
13123,"Gilmer County, Georgia",28956,43775
13125,"Glascock County, Georgia",3053,43884
13127,"Glynn County, Georgia",82623,46475
13129,"Gordon County, Georgia",56079,41390
13131,"Grady County, Georgia",25145,35518
13133,"Greene County, Georgia",16535,44299
13135,"Gwinnett County, Georgia",874242,61865
13137,"Habersham County, Georgia",43724,41600
13139,"Hall County, Georgia",190482,51902
13141,"Hancock County, Georgia",8747,26386
13143,"Haralson County, Georgia",28667,42281
13145,"Harris County, Georgia",32992,65336
13147,"Hart County, Georgia",25518,37983
13149,"Heard County, Georgia",11571,44185
13151,"Henry County, Georgia",214171,62561
13153,"Houston County, Georgia",149137,55480
13155,"Irwin County, Georgia",9365,29846
13157,"Jackson County, Georgia",62131,54246
13159,"Jasper County, Georgia",13571,41434
13161,"Jeff Davis County, Georgia",14953,36566
