id,Geography,medianHomeValue
12005,"Bay County, Florida",162500
12007,"Bradford County, Florida",92000
12009,"Brevard County, Florida",150500
12011,"Broward County, Florida",202300
12013,"Calhoun County, Florida",80300
12015,"Charlotte County, Florida",154400
12017,"Citrus County, Florida",114300
12019,"Clay County, Florida",157600
12021,"Collier County, Florida",291900
12023,"Columbia County, Florida",105100
12027,"DeSoto County, Florida",82300
12029,"Dixie County, Florida",69600
12031,"Duval County, Florida",146400
12033,"Escambia County, Florida",121800
12035,"Flagler County, Florida",174700
12037,"Franklin County, Florida",124500
12039,"Gadsden County, Florida",105100
12041,"Gilchrist County, Florida",94400
12043,"Glades County, Florida",79200
12045,"Gulf County, Florida",131400
12047,"Hamilton County, Florida",71000
12049,"Hardee County, Florida",78800
12051,"Hendry County, Florida",70600
12053,"Hernando County, Florida",112300
12055,"Highlands County, Florida",86600
12057,"Hillsborough County, Florida",167400
12059,"Holmes County, Florida",90700
12061,"Indian River County, Florida",160900
12063,"Jackson County, Florida",92200
12065,"Jefferson County, Florida",123300
12067,"Lafayette County, Florida",112400
12069,"Lake County, Florida",145100
12071,"Lee County, Florida",171100
12073,"Leon County, Florida",183800
12075,"Levy County, Florida",86700
12077,"Liberty County, Florida",69500
12079,"Madison County, Florida",81100
12081,"Manatee County, Florida",178700
12083,"Marion County, Florida",114400
12085,"Martin County, Florida",209700
12086,"Miami-Dade County, Florida",221100
12087,"Monroe County, Florida",400800
12089,"Nassau County, Florida",192600
12091,"Okaloosa County, Florida",191800
12093,"Okeechobee County, Florida",90800
12095,"Orange County, Florida",173700
12097,"Osceola County, Florida",146500
12099,"Palm Beach County, Florida",222700
12101,"Pasco County, Florida",122100
12103,"Pinellas County, Florida",157500
12105,"Polk County, Florida",110400
12107,"Putnam County, Florida",84100
12109,"St. Johns County, Florida",259900
12111,"St. Lucie County, Florida",137700
12113,"Santa Rosa County, Florida",165500
12115,"Sarasota County, Florida",196800
12117,"Seminole County, Florida",188400
12119,"Sumter County, Florida",227000
12121,"Suwannee County, Florida",88700
12123,"Taylor County, Florida",83200
12125,"Union County, Florida",89100
12127,"Volusia County, Florida",139000
12129,"Wakulla County, Florida",131500
12131,"Walton County, Florida",183400
12133,"Washington County, Florida",93700
13001,"Appling County, Georgia",72100
13003,"Atkinson County, Georgia",62900
13005,"Bacon County, Georgia",64100
13007,"Baker County, Georgia",90700
13009,"Baldwin County, Georgia",103700
13011,"Banks County, Georgia",120800
13013,"Barrow County, Georgia",123200
13015,"Bartow County, Georgia",128200
13017,"Ben Hill County, Georgia",81100
13019,"Berrien County, Georgia",82300
13021,"Bibb County, Georgia",117000
13023,"Bleckley County, Georgia",99800
13025,"Brantley County, Georgia",65600
13027,"Brooks County, Georgia",91400
13029,"Bryan County, Georgia",202000
13031,"Bulloch County, Georgia",131600
13033,"Burke County, Georgia",79800
13035,"Butts County, Georgia",117000
13037,"Calhoun County, Georgia",55600
13039,"Camden County, Georgia",151700
13043,"Candler County, Georgia",89900
13045,"Carroll County, Georgia",113700
13047,"Catoosa County, Georgia",135300
13049,"Charlton County, Georgia",80400
13051,"Chatham County, Georgia",174500
13053,"Chattahoochee County, Georgia",66400
13055,"Chattooga County, Georgia",67300
13057,"Cherokee County, Georgia",204400
13059,"Clarke County, Georgia",152300
13061,"Clay County, Georgia",71400
13063,"Clayton County, Georgia",86700
13065,"Clinch County, Georgia",65400
13067,"Cobb County, Georgia",205600
13069,"Coffee County, Georgia",84400
13071,"Colquitt County, Georgia",82600
13073,"Columbia County, Georgia",176400
13075,"Cook County, Georgia",80000
13077,"Coweta County, Georgia",182300
13079,"Crawford County, Georgia",89900
13081,"Crisp County, Georgia",91000
13083,"Dade County, Georgia",119200
13085,"Dawson County, Georgia",196400
13087,"Decatur County, Georgia",111100
13089,"DeKalb County, Georgia",168100
13091,"Dodge County, Georgia",68900
13093,"Dooly County, Georgia",83600
13095,"Dougherty County, Georgia",100500
13097,"Douglas County, Georgia",127400
13099,"Early County, Georgia",82100
13101,"Echols County, Georgia",55600
13103,"Effingham County, Georgia",152300
13105,"Elbert County, Georgia",83700
13107,"Emanuel County, Georgia",72300
13109,"Evans County, Georgia",86700
13111,"Fannin County, Georgia",169800
13113,"Fayette County, Georgia",240200
13115,"Floyd County, Georgia",119600
13117,"Forsyth County, Georgia",281400
13119,"Franklin County, Georgia",99100
13121,"Fulton County, Georgia",252700
