id,Geography,medianHouseholdIncome
08014,"Broomfield County, Colorado",83334
08015,"Chaffee County, Colorado",50993
08017,"Cheyenne County, Colorado",54375
08019,"Clear Creek County, Colorado",68250
08021,"Conejos County, Colorado",34630
08023,"Costilla County, Colorado",26610
08025,"Crowley County, Colorado",31719
08027,"Custer County, Colorado",38605
08029,"Delta County, Colorado",42011
08031,"Denver County, Colorado",56258
08033,"Dolores County, Colorado",32240
08035,"Douglas County, Colorado",105759
08037,"Eagle County, Colorado",78763
08039,"Elbert County, Colorado",87288
08041,"El Paso County, Colorado",60219
08043,"Fremont County, Colorado",42308
08045,"Garfield County, Colorado",61300
08047,"Gilpin County, Colorado",67544
08049,"Grand County, Colorado",67623
08051,"Gunnison County, Colorado",50746
08053,"Hinsdale County, Colorado",51250
08055,"Huerfano County, Colorado",33257
08057,"Jackson County, Colorado",45053
08059,"Jefferson County, Colorado",72017
08061,"Kiowa County, Colorado",38385
08063,"Kit Carson County, Colorado",44449
08065,"Lake County, Colorado",46928
08067,"La Plata County, Colorado",61910
08069,"Larimer County, Colorado",61942
08071,"Las Animas County, Colorado",42808
08073,"Lincoln County, Colorado",40438
08075,"Logan County, Colorado",43340
08077,"Mesa County, Colorado",50070
08079,"Mineral County, Colorado",49125
08081,"Moffat County, Colorado",53664
08083,"Montezuma County, Colorado",41622
08085,"Montrose County, Colorado",43890
08087,"Morgan County, Colorado",49495
08089,"Otero County, Colorado",34477
08091,"Ouray County, Colorado",62800
08093,"Park County, Colorado",61675
08095,"Phillips County, Colorado",46955
08097,"Pitkin County, Colorado",69789
08099,"Prowers County, Colorado",41037
08101,"Pueblo County, Colorado",42000
08103,"Rio Blanco County, Colorado",56771
08105,"Rio Grande County, Colorado",40177
08107,"Routt County, Colorado",63505
08109,"Saguache County, Colorado",32457
08111,"San Juan County, Colorado",41250
08113,"San Miguel County, Colorado",58170
08115,"Sedgwick County, Colorado",46977
08117,"Summit County, Colorado",70192
08119,"Teller County, Colorado",63723
08121,"Washington County, Colorado",46315
08123,"Weld County, Colorado",62820
08125,"Yuma County, Colorado",42026
09001,"Fairfield County, Connecticut",86670
09003,"Hartford County, Connecticut",68027
09005,"Litchfield County, Connecticut",73519
09007,"Middlesex County, Connecticut",79837
09009,"New Haven County, Connecticut",62715
09011,"New London County, Connecticut",67574
09013,"Tolland County, Connecticut",80129
09015,"Windham County, Connecticut",60689
10001,"Kent County, Delaware",55184
10003,"New Castle County, Delaware",66283
10005,"Sussex County, Delaware",54218
11001,"District of Columbia, District of Columbia",72935
12001,"Alachua County, Florida",44702
12003,"Baker County, Florida",53327
12005,"Bay County, Florida",48577
12007,"Bradford County, Florida",43373
12009,"Brevard County, Florida",49914
12011,"Broward County, Florida",52954
12013,"Calhoun County, Florida",37089
12015,"Charlotte County, Florida",44865
12017,"Citrus County, Florida",39054
12019,"Clay County, Florida",59179
12021,"Collier County, Florida",59783
12023,"Columbia County, Florida",42848
12027,"DeSoto County, Florida",35513
12029,"Dixie County, Florida",34634
12031,"Duval County, Florida",49196
12033,"Escambia County, Florida",46117
12035,"Flagler County, Florida",48898
12037,"Franklin County, Florida",40301
12039,"Gadsden County, Florida",38533
12041,"Gilchrist County, Florida",40881
12043,"Glades County, Florida",34143
12045,"Gulf County, Florida",40822
12047,"Hamilton County, Florida",38980
12049,"Hardee County, Florida",36222
12051,"Hendry County, Florida",37552
12053,"Hernando County, Florida",42274
12055,"Highlands County, Florida",35865
12057,"Hillsborough County, Florida",51681
12059,"Holmes County, Florida",37437
12061,"Indian River County, Florida",47446
12063,"Jackson County, Florida",35470
12065,"Jefferson County, Florida",41696
12067,"Lafayette County, Florida",36236
12069,"Lake County, Florida",47141
12071,"Lee County, Florida",50390
12073,"Leon County, Florida",48248
12075,"Levy County, Florida",35480
12077,"Liberty County, Florida",37917
12079,"Madison County, Florida",29806
12081,"Manatee County, Florida",51483
12083,"Marion County, Florida",40295
12085,"Martin County, Florida",52622
12086,"Miami-Dade County, Florida",44224
12087,"Monroe County, Florida",60303
12089,"Nassau County, Florida",59196
12091,"Okaloosa County, Florida",57655
12093,"Okeechobee County, Florida",36415
12095,"Orange County, Florida",49391
12097,"Osceola County, Florida",45536
12099,"Palm Beach County, Florida",55277
12101,"Pasco County, Florida",46010
12103,"Pinellas County, Florida",47090
12105,"Polk County, Florida",44146
12107,"Putnam County, Florida",33003
12109,"St. Johns County, Florida",69523
12111,"St. Lucie County, Florida",44140
12113,"Santa Rosa County, Florida",60652
12115,"Sarasota County, Florida",52796
12117,"Seminole County, Florida",58538
12119,"Sumter County, Florida",52594
12121,"Suwannee County, Florida",37796
12123,"Taylor County, Florida",36195
12125,"Union County, Florida",37778
12127,"Volusia County, Florida",42240
12129,"Wakulla County, Florida",54078
12131,"Walton County, Florida",46910
12133,"Washington County, Florida",38330
13001,"Appling County, Georgia",37388
13003,"Atkinson County, Georgia",31296
13005,"Bacon County, Georgia",37303
13007,"Baker County, Georgia",45903
13009,"Baldwin County, Georgia",34595
13011,"Banks County, Georgia",40721
13013,"Barrow County, Georgia",53133
13015,"Bartow County, Georgia",50565
13017,"Ben Hill County, Georgia",29510
13019,"Berrien County, Georgia",35740
13021,"Bibb County, Georgia",37108
13023,"Bleckley County, Georgia",37060
13025,"Brantley County, Georgia",36837
13027,"Brooks County, Georgia",34547
13029,"Bryan County, Georgia",65862
13031,"Bulloch County, Georgia",37125
13033,"Burke County, Georgia",34589
13035,"Butts County, Georgia",40753
13037,"Calhoun County, Georgia",28200
13039,"Camden County, Georgia",53327
13043,"Candler County, Georgia",33379
13045,"Carroll County, Georgia",45486
13047,"Catoosa County, Georgia",52265
13049,"Charlton County, Georgia",43871
13051,"Chatham County, Georgia",49596
13053,"Chattahoochee County, Georgia",43929
13055,"Chattooga County, Georgia",35245
13057,"Cherokee County, Georgia",72586
13059,"Clarke County, Georgia",33116
13061,"Clay County, Georgia",22120
13063,"Clayton County, Georgia",42470
13065,"Clinch County, Georgia",24848
13067,"Cobb County, Georgia",68818
13069,"Coffee County, Georgia",34536
13071,"Colquitt County, Georgia",33968
13073,"Columbia County, Georgia",71962
13075,"Cook County, Georgia",35199
13077,"Coweta County, Georgia",65244
13079,"Crawford County, Georgia",40459
13081,"Crisp County, Georgia",31672
13083,"Dade County, Georgia",43463
13085,"Dawson County, Georgia",59265
13087,"Decatur County, Georgia",33514
13089,"DeKalb County, Georgia",52623
13091,"Dodge County, Georgia",35544
13093,"Dooly County, Georgia",33319
13095,"Dougherty County, Georgia",33605
13097,"Douglas County, Georgia",57384
13099,"Early County, Georgia",28599
13101,"Echols County, Georgia",35354
13103,"Effingham County, Georgia",62820
13105,"Elbert County, Georgia",35739
13107,"Emanuel County, Georgia",31522
13109,"Evans County, Georgia",40594
13111,"Fannin County, Georgia",39011
13113,"Fayette County, Georgia",81689
13115,"Floyd County, Georgia",42955
13117,"Forsyth County, Georgia",91842
13119,"Franklin County, Georgia",37298
13121,"Fulton County, Georgia",58851
13123,"Gilmer County, Georgia",43775
13125,"Glascock County, Georgia",43884
13127,"Glynn County, Georgia",46475
13129,"Gordon County, Georgia",41390
13131,"Grady County, Georgia",35518
13133,"Greene County, Georgia",44299
13135,"Gwinnett County, Georgia",61865
13137,"Habersham County, Georgia",41600
13139,"Hall County, Georgia",51902
13141,"Hancock County, Georgia",26386
13143,"Haralson County, Georgia",42281
13145,"Harris County, Georgia",65336
13147,"Hart County, Georgia",37983
13149,"Heard County, Georgia",44185
13151,"Henry County, Georgia",62561
13153,"Houston County, Georgia",55480
13155,"Irwin County, Georgia",29846
13157,"Jackson County, Georgia",54246
13159,"Jasper County, Georgia",41434
13161,"Jeff Davis County, Georgia",36566
13163,"Jefferson County, Georgia",28417
13165,"Jenkins County, Georgia",27398
13167,"Johnson County, Georgia",32685
13169,"Jones County, Georgia",54020
13171,"Lamar County, Georgia",40364
13173,"Lanier County, Georgia",31682
13175,"Laurens County, Georgia",33632
13177,"Lee County, Georgia",62797
13179,"Liberty County, Georgia",42484
13181,"Lincoln County, Georgia",34720
13183,"Long County, Georgia",50848
13185,"Lowndes County, Georgia",38915
13187,"Lumpkin County, Georgia",40634
13189,"McDuffie County, Georgia",37021
13191,"McIntosh County, Georgia",45248
13193,"Macon County, Georgia",28285
13195,"Madison County, Georgia",45063
13197,"Marion County, Georgia",35484
13199,"Meriwether County, Georgia",34989
13201,"Miller County, Georgia",36463
13205,"Mitchell County, Georgia",31111
13207,"Monroe County, Georgia",50625
13209,"Montgomery County, Georgia",38111
13211,"Morgan County, Georgia",54506
13213,"Murray County, Georgia",38136
13215,"Muscogee County, Georgia",42661
13217,"Newton County, Georgia",51068
13219,"Oconee County, Georgia",75946
13221,"Oglethorpe County, Georgia",44403
13223,"Paulding County, Georgia",60971
13225,"Peach County, Georgia",41128
13227,"Pickens County, Georgia",56769
13229,"Pierce County, Georgia",42730
13231,"Pike County, Georgia",50819
13233,"Polk County, Georgia",39356
13235,"Pulaski County, Georgia",38880
13237,"Putnam County, Georgia",45762
13239,"Quitman County, Georgia",29773
13241,"Rabun County, Georgia",38277
13243,"Randolph County, Georgia",30358
13245,"Richmond County, Georgia",38595
13247,"Rockdale County, Georgia",51072
13249,"Schley County, Georgia",41227
13251,"Screven County, Georgia",35047
13253,"Seminole County, Georgia",35410
13255,"Spalding County, Georgia",40548
13257,"Stephens County, Georgia",37088
13259,"Stewart County, Georgia",20882
13261,"Sumter County, Georgia",33534
13263,"Talbot County, Georgia",36957
13265,"Taliaferro County, Georgia",28152
13267,"Tattnall County, Georgia",35578
13269,"Taylor County, Georgia",27114
13271,"Telfair County, Georgia",27657
13273,"Terrell County, Georgia",30438
13275,"Thomas County, Georgia",38241
13277,"Tift County, Georgia",37613
13279,"Toombs County, Georgia",33081
13281,"Towns County, Georgia",39321
13283,"Treutlen County, Georgia",40204
13285,"Troup County, Georgia",42545
13287,"Turner County, Georgia",34667
13289,"Twiggs County, Georgia",31625
13291,"Union County, Georgia",41686
13293,"Upson County, Georgia",35699
13295,"Walker County, Georgia",41539
13297,"Walton County, Georgia",54459
13299,"Ware County, Georgia",34705
13301,"Warren County, Georgia",31875
13303,"Washington County, Georgia",37417
13305,"Wayne County, Georgia",39908
13307,"Webster County, Georgia",37072
13309,"Wheeler County, Georgia",27779
13311,"White County, Georgia",42264
13313,"Whitfield County, Georgia",41764
13315,"Wilcox County, Georgia",34071
13317,"Wilkes County, Georgia",33462
13319,"Wilkinson County, Georgia",38827
13321,"Worth County, Georgia",38684
15001,"Hawaii County, Hawaii",53936
15003,"Honolulu County, Hawaii",77161
15005,"Kalawao County, Hawaii",65625
15007,"Kauai County, Hawaii",68224
15009,"Maui County, Hawaii",68777
16001,"Ada County, Idaho",58099
16003,"Adams County, Idaho",41335
16005,"Bannock County, Idaho",45216
16007,"Bear Lake County, Idaho",46863
16009,"Benewah County, Idaho",42600
16011,"Bingham County, Idaho",49943
16013,"Blaine County, Idaho",58086
16015,"Boise County, Idaho",44591
16017,"Bonner County, Idaho",43697
16019,"Bonneville County, Idaho",52831
16021,"Boundary County, Idaho",39279
16023,"Butte County, Idaho",39653
16025,"Camas County, Idaho",42708
16027,"Canyon County, Idaho",44860
16029,"Caribou County, Idaho",57957
16031,"Cassia County, Idaho",46215
16033,"Clark County, Idaho",32422
16035,"Clearwater County, Idaho",40266
16037,"Custer County, Idaho",39497
16039,"Elmore County, Idaho",44444
16041,"Franklin County, Idaho",50500
16043,"Fremont County, Idaho",49973
16045,"Gem County, Idaho",40767
16047,"Gooding County, Idaho",40704
16049,"Idaho County, Idaho",38597
16051,"Jefferson County, Idaho",54646
16053,"Jerome County, Idaho",44447
16055,"Kootenai County, Idaho",50924
16057,"Latah County, Idaho",42133
16059,"Lemhi County, Idaho",34762
16061,"Lewis County, Idaho",38068
16063,"Lincoln County, Idaho",44500
16065,"Madison County, Idaho",33856
16067,"Minidoka County, Idaho",46147
16069,"Nez Perce County, Idaho",49541
16071,"Oneida County, Idaho",40564
16073,"Owyhee County, Idaho",34785
16075,"Payette County, Idaho",45670
16077,"Power County, Idaho",46318
16079,"Shoshone County, Idaho",37449
16081,"Teton County, Idaho",58173
16083,"Twin Falls County, Idaho",45500
16085,"Valley County, Idaho",53630
16087,"Washington County, Idaho",37525
17001,"Adams County, Illinois",48065
17003,"Alexander County, Illinois",29071
17005,"Bond County, Illinois",52159
17007,"Boone County, Illinois",60063
17009,"Brown County, Illinois",52500
17011,"Bureau County, Illinois",51425
17013,"Calhoun County, Illinois",52949
17015,"Carroll County, Illinois",50052
17017,"Cass County, Illinois",48887
17019,"Champaign County, Illinois",48899
17021,"Christian County, Illinois",47417
17023,"Clark County, Illinois",48693
17025,"Clay County, Illinois",45984
17027,"Clinton County, Illinois",63929
17029,"Coles County, Illinois",38800
17031,"Cook County, Illinois",56902
17033,"Crawford County, Illinois",47364
17035,"Cumberland County, Illinois",44281
17037,"DeKalb County, Illinois",56076
17039,"De Witt County, Illinois",53510
17041,"Douglas County, Illinois",52984
17043,"DuPage County, Illinois",81521
17045,"Edgar County, Illinois",46440
17047,"Edwards County, Illinois",47035
17049,"Effingham County, Illinois",52977
17051,"Fayette County, Illinois",44745
17053,"Ford County, Illinois",49257
17055,"Franklin County, Illinois",39507
17057,"Fulton County, Illinois",46183
17059,"Gallatin County, Illinois",41269
17061,"Greene County, Illinois",42880
17063,"Grundy County, Illinois",67162
17065,"Hamilton County, Illinois",45076
17067,"Hancock County, Illinois",50077
17069,"Hardin County, Illinois",39926
17071,"Henderson County, Illinois",46216
17073,"Henry County, Illinois",54757
17075,"Iroquois County, Illinois",47823
17077,"Jackson County, Illinois",33845
17079,"Jasper County, Illinois",56305
17081,"Jefferson County, Illinois",43467
17083,"Jersey County, Illinois",52738
17085,"Jo Daviess County, Illinois",54702
17087,"Johnson County, Illinois",44179
17089,"Kane County, Illinois",71602
17091,"Kankakee County, Illinois",54697
17093,"Kendall County, Illinois",85736
17095,"Knox County, Illinois",40605
17097,"Lake County, Illinois",79886
17099,"LaSalle County, Illinois",51684
17101,"Lawrence County, Illinois",42650
17103,"Lee County, Illinois",55067
17105,"Livingston County, Illinois",54074
17107,"Logan County, Illinois",52676
17109,"McDonough County, Illinois",41484
17111,"McHenry County, Illinois",79836
17113,"McLean County, Illinois",63420
17115,"Macon County, Illinois",47477
17117,"Macoupin County, Illinois",52337
17119,"Madison County, Illinois",54573
17121,"Marion County, Illinois",43427
17123,"Marshall County, Illinois",54189
17125,"Mason County, Illinois",43125
17127,"Massac County, Illinois",42706
17129,"Menard County, Illinois",60420
17131,"Mercer County, Illinois",55750
17133,"Monroe County, Illinois",72956
17135,"Montgomery County, Illinois",45173
17137,"Morgan County, Illinois",47760
17139,"Moultrie County, Illinois",51432
17141,"Ogle County, Illinois",55832
17143,"Peoria County, Illinois",51632
17145,"Perry County, Illinois",43308
17147,"Piatt County, Illinois",69160
17149,"Pike County, Illinois",40157
17151,"Pope County, Illinois",39243
17153,"Pulaski County, Illinois",32538
17155,"Putnam County, Illinois",64085
17157,"Randolph County, Illinois",48343
17159,"Richland County, Illinois",45597
17161,"Rock Island County, Illinois",50208
17163,"St. Clair County, Illinois",50006
17165,"Saline County, Illinois",40290
17167,"Sangamon County, Illinois",56742
17169,"Schuyler County, Illinois",48396
17171,"Scott County, Illinois",46210
17173,"Shelby County, Illinois",48572
17175,"Stark County, Illinois",52058
17177,"Stephenson County, Illinois",45624
17179,"Tazewell County, Illinois",60178
17181,"Union County, Illinois",45464
17183,"Vermilion County, Illinois",43552
17185,"Wabash County, Illinois",46871
17187,"Warren County, Illinois",44067
17189,"Washington County, Illinois",54936
17191,"Wayne County, Illinois",46903
17193,"White County, Illinois",43678
17195,"Whiteside County, Illinois",49151
17197,"Will County, Illinois",77507
17199,"Williamson County, Illinois",45902
17201,"Winnebago County, Illinois",49468
17203,"Woodford County, Illinois",68040
18001,"Adams County, Indiana",47572
18003,"Allen County, Indiana",49574
18005,"Bartholomew County, Indiana",55874
18007,"Benton County, Indiana",48069
18009,"Blackford County, Indiana",38791
18011,"Boone County, Indiana",72774
18013,"Brown County, Indiana",56323
18015,"Carroll County, Indiana",54140
18017,"Cass County, Indiana",43918
18019,"Clark County, Indiana",51844
18021,"Clay County, Indiana",49735
18023,"Clinton County, Indiana",50096
18025,"Crawford County, Indiana",41173
18027,"Daviess County, Indiana",47939
18029,"Dearborn County, Indiana",60834
18031,"Decatur County, Indiana",51185
18033,"DeKalb County, Indiana",50398
18035,"Delaware County, Indiana",39537
18037,"Dubois County, Indiana",55154
18039,"Elkhart County, Indiana",49692
18041,"Fayette County, Indiana",40851
18043,"Floyd County, Indiana",57494
18045,"Fountain County, Indiana",45924
18047,"Franklin County, Indiana",52128
18049,"Fulton County, Indiana",46310
18051,"Gibson County, Indiana",49669
18053,"Grant County, Indiana",40272
18055,"Greene County, Indiana",45153
18057,"Hamilton County, Indiana",87782
18059,"Hancock County, Indiana",68449
18061,"Harrison County, Indiana",52926
18063,"Hendricks County, Indiana",73042
18065,"Henry County, Indiana",44509
18067,"Howard County, Indiana",45928
18069,"Huntington County, Indiana",47042
18071,"Jackson County, Indiana",48546
18073,"Jasper County, Indiana",55485
18075,"Jay County, Indiana",42322
18077,"Jefferson County, Indiana",47065
18079,"Jennings County, Indiana",47236
18081,"Johnson County, Indiana",63023
18083,"Knox County, Indiana",44624
18085,"Kosciusko County, Indiana",54482
18087,"LaGrange County, Indiana",53947
18089,"Lake County, Indiana",50905
18091,"LaPorte County, Indiana",48165
18093,"Lawrence County, Indiana",46044
18095,"Madison County, Indiana",44795
18097,"Marion County, Indiana",43369
18099,"Marshall County, Indiana",49725
18101,"Martin County, Indiana",47457
18103,"Miami County, Indiana",45646
18105,"Monroe County, Indiana",43389
18107,"Montgomery County, Indiana",50253
18109,"Morgan County, Indiana",57521
18111,"Newton County, Indiana",50058
18113,"Noble County, Indiana",49657
18115,"Ohio County, Indiana",54653
18117,"Orange County, Indiana",41438
18119,"Owen County, Indiana",45388
18121,"Parke County, Indiana",42664
18123,"Perry County, Indiana",47396
18125,"Pike County, Indiana",48076
18127,"Porter County, Indiana",64874
18129,"Posey County, Indiana",59918
18131,"Pulaski County, Indiana",44884
18133,"Putnam County, Indiana",52465
18135,"Randolph County, Indiana",42418
18137,"Ripley County, Indiana",52372
18139,"Rush County, Indiana",46380
18141,"St. Joseph County, Indiana",46174
18143,"Scott County, Indiana",46368
18145,"Shelby County, Indiana",52651
18147,"Spencer County, Indiana",54870
18149,"Starke County, Indiana",43401
18151,"Steuben County, Indiana",50418
