occupation,men,women
Taxi drivers and chauffeurs,81.1,18.9
"Software developers, applications and systems software",81.3,18.7
Printing press operators,82.3,17.7
"Motor vehicle operators, all other",82.5,17.5
Computer hardware engineers,82.8,17.2
Clergy,83,17
Chemical engineers,83.1,16.9
Parking lot attendants,83.3,16.7
Barbers,84.4,15.6
Precision instrument and equipment repairers,85.4,14.6
Civil engineers,85.6,14.4
Broadcast and sound engineering technicians and radio operators,85.6,14.4
"Engineers, all other",85.9,14.1
"Crushing, grinding, polishing, mixing, and blending workers",86,14
Cleaners of vehicles and equipment,86,14
Police and sheriff's patrol officers,86.4,13.6
Cost estimators,87.1,12.9
Painting workers,87.4,12.6
First-line supervisors of police and detectives,87.5,12.5
Electrical and electronics engineers,87.7,12.3
"Television, video, and motion picture camera operators and editors",87.8,12.2
Refuse and recyclable material collectors,88.3,11.7
"Computer, automated teller, and office machine repairers",88.7,11.3
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",89,11
Construction and building inspectors,89.8,10.2
Computer control programmers and operators,90.2,9.8
"Helpers, construction trades",90.6,9.4
Mechanical engineers,90.8,9.2
Aerospace engineers,91.1,8.9
Automotive and watercraft service attendants,91.2,8.8
Architectural and engineering managers,91.3,8.7
"First-line supervisors of farming, fishing, and forestry workers",91.3,8.7
"First-line supervisors of mechanics, installers, and repairers",91.6,8.4
Industrial truck and tractor operators,91.8,8.2
Radio and telecommunications equipment installers and repairers,91.9,8.1
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",92,8
Construction managers,92.6,7.4
Parts salespersons,92.8,7.2
"Painters, construction and maintenance",93.4,6.6
Pest control workers,93.5,6.5
Aircraft pilots and flight engineers,93.8,6.2
Driver/sales workers and truck drivers,93.8,6.2
Grounds maintenance workers,94.1,5.9
"Other installation, maintenance, and repair workers",94.1,5.9
"Chemical processing machine setters, operators, and tenders",94.3,5.7
Aircraft mechanics and service technicians,94.8,5.2
Railroad conductors and yardmasters,94.8,5.2
Machinists,95,5
Surveying and mapping technicians,95.4,4.6
"Maintenance and repair workers, general",95.5,4.5
"Welding, soldering, and brazing workers",95.5,4.5
Computer network architects,95.8,4.2
Crane and tower operators,95.9,4.1
Industrial and refractory machinery mechanics,96.1,3.9
Water and wastewater treatment plant and system operators,96.2,3.8
Firefighters,96.5,3.5
Construction laborers,96.7,3.3
Stationary engineers and boiler operators,96.7,3.3
Tool and die makers,96.8,3.2
Insulation workers,96.9,3.1
First-line supervisors of construction trades and extraction workers,97,3
Other extraction workers,97.1,2.9
Electronic home entertainment equipment installers and repairers,97.2,2.8
"Drywall installers, ceiling tile installers, and tapers",97.3,2.7
Highway maintenance workers,97.3,2.7
Telecommunications line installers and repairers,97.3,2.7
Sheet metal workers,97.4,2.6
Security and fire alarm systems installers,97.4,2.6
Heavy vehicle and mobile equipment service technicians and mechanics,97.4,2.6
Electricians,97.5,2.5
"Carpet, floor, and tile installers and finishers",97.6,2.4
Automotive service technicians and mechanics,97.6,2.4
Carpenters,97.8,2.2
"Pipelayers, plumbers, pipefitters, and steamfitters",97.8,2.2
Logging workers,98,2
"Heating, air conditioning, and refrigeration mechanics and installers",98,2
Bus and truck mechanics and diesel engine specialists,98.2,1.8
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",98.2,1.8
Operating engineers and other construction equipment operators,98.5,1.5
Mining machine operators,98.9,1.1
Automotive body and related repairers,98.9,1.1
"Cement masons, concrete finishers, and terrazzo workers",99,1
"Brickmasons, blockmasons, and stonemasons",99.3,0.7
Roofers,99.4,0.6
Electrical power-line installers and repairers,99.4,0.6
