Id2,Geography,OneHundredPlus
08055,"Huerfano County, Colorado",11.6
08057,"Jackson County, Colorado",13.6
08059,"Jefferson County, Colorado",33.7
08061,"Kiowa County, Colorado",8.1
08063,"Kit Carson County, Colorado",12
08065,"Lake County, Colorado",16.7
08067,"La Plata County, Colorado",25.8
08069,"Larimer County, Colorado",26.7
08071,"Las Animas County, Colorado",13.5
08073,"Lincoln County, Colorado",11.3
08075,"Logan County, Colorado",13.5
08077,"Mesa County, Colorado",18.3
08079,"Mineral County, Colorado",20.3
08081,"Moffat County, Colorado",19.2
08083,"Montezuma County, Colorado",11.6
08085,"Montrose County, Colorado",12.9
08087,"Morgan County, Colorado",14.7
08089,"Otero County, Colorado",9.4
08091,"Ouray County, Colorado",22.2
08093,"Park County, Colorado",26.5
08095,"Phillips County, Colorado",14.9
08097,"Pitkin County, Colorado",34.9
08099,"Prowers County, Colorado",13.1
08101,"Pueblo County, Colorado",13.9
08103,"Rio Blanco County, Colorado",19.8
08105,"Rio Grande County, Colorado",11.5
08107,"Routt County, Colorado",27.1
08109,"Saguache County, Colorado",11.6
08111,"San Juan County, Colorado",14.1
08113,"San Miguel County, Colorado",23
08115,"Sedgwick County, Colorado",11.6
08117,"Summit County, Colorado",30.1
08119,"Teller County, Colorado",29
08121,"Washington County, Colorado",16.5
08123,"Weld County, Colorado",25.2
08125,"Yuma County, Colorado",11.9
09001,"Fairfield County, Connecticut",44.3
09003,"Hartford County, Connecticut",32.7
09005,"Litchfield County, Connecticut",34.5
09007,"Middlesex County, Connecticut",39.5
09009,"New Haven County, Connecticut",30.5
09011,"New London County, Connecticut",31.9
09013,"Tolland County, Connecticut",38.7
09015,"Windham County, Connecticut",25.4
10001,"Kent County, Delaware",20.7
10003,"New Castle County, Delaware",30.4
10005,"Sussex County, Delaware",21.4
11001,"District of Columbia, District of Columbia",38.5
12001,"Alachua County, Florida",19
12003,"Baker County, Florida",18.7
12005,"Bay County, Florida",17.4
12007,"Bradford County, Florida",13.9
12009,"Brevard County, Florida",18.8
12011,"Broward County, Florida",23.2
12013,"Calhoun County, Florida",10
12015,"Charlotte County, Florida",14.4
12017,"Citrus County, Florida",10.6
12019,"Clay County, Florida",23.7
12021,"Collier County, Florida",27.5
12023,"Columbia County, Florida",14.3
12027,"DeSoto County, Florida",7.2
12029,"Dixie County, Florida",6.9
12031,"Duval County, Florida",18.9
12033,"Escambia County, Florida",14.2
12035,"Flagler County, Florida",15.9
12037,"Franklin County, Florida",13.8
12039,"Gadsden County, Florida",10.6
12041,"Gilchrist County, Florida",10.2
12043,"Glades County, Florida",6.8
12045,"Gulf County, Florida",15.6
12047,"Hamilton County, Florida",11.6
12049,"Hardee County, Florida",11.7
12051,"Hendry County, Florida",11
