state,id,Geography,county,population,medianHouseholdIncome
 South Carolina,45091,"York County, South Carolina",York County,245606,56482
 South Carolina,45035,"Dorchester County, South Carolina",Dorchester County,148517,56345
 Arkansas,5007,"Benton County, Arkansas",Benton County,245231,59016
 Arkansas,5125,"Saline County, Arkansas",Saline County,115577,57632
 Arkansas,5085,"Lonoke County, Arkansas",Lonoke County,71279,56156
 Idaho,16081,"Teton County, Idaho",Teton County,10437,58173
 Idaho,16001,"Ada County, Idaho",Ada County,425798,58099
 Idaho,16013,"Blaine County, Idaho",Blaine County,21427,58086
 Arizona,4013,"Maricopa County, Arizona",Maricopa County,4088549,55676
 Arizona,4011,"Greenlee County, Arizona",Greenlee County,9224,51813
 Arizona,4021,"Pinal County, Arizona",Pinal County,397604,51190
